"Raffles Place, Marina, Cecil, People?s Park",1
"Anson, Tanjong Pagar",2
"Tiong Bahru, Queenstown",3
"Telok Blangah, Harbourfront",4
"Pasir Panjang, Hong Leong Garden, Clementi New Town",5
"High Street, Beach Road",6
"Middle Road, Golden Mile",7
Little India,8
"Orchard, Cairnhill, River Valley",9
"Ardmore, Bukit Timah, Holland Road, Tanglin",10
"Watten Estate, Novena, Thomson",11
"Toa Payoh, Serangoon, Balestier",12
"Macpherson, Bradell",13
"Geylang, Eunos",14
"Joo Chiat, Amber Road, Katong",15
"Bedok, Upper East Coast, Eastwood, Kew Drive",16
"Changi, Loyang",17
"Tampines, Pasir Ris",18
"Punggol, Hougang, Serangoon Gardens",19
"Ang Mo Kio, Bishan",20
"Upper Bukit Timah, Ulu Pandan, Clementi Park",21
Jurong,22
"Choa Chu Kang, Dairy Farm, Hillview, Bukit Panjang",23
"Lim Chu Kang, Tengah",24
"Kranji, Woodgrove",25
"Upper Thomson, Springleaf",26
"Sembawang, Yishun",27
Seletar,28
